Designator,Mid X,Mid Y,Rotation,Layer
C1,184.61,-93.18,0,bottom
C17,234.63,-59.305002,90,bottom
C18,233.1,-59.305002,90,bottom
C19,231.56,-59.310002,90,bottom
C2,184.61,-94.71,0,bottom
C20,232.93,-70.160002,0,bottom
C21,82.33,-55.015,90,bottom
C22,75.37,-52.76,0,bottom
C23,73.54,-56.505,90,bottom
C24,77.79,-51.655,90,bottom
C25,80.05,-53.24,0,bottom
C26,60.94,-56.74,270,bottom
C27,59.42,-56.74,270,bottom
C28,57.9,-56.735,270,bottom
C29,62.66,-53.925,270,bottom
C3,73.54,-59.52,270,bottom
C30,67.74,-56.2,90,bottom
C31,83.67,-66.82,180,bottom
C32,97.995,-72.185,0,bottom
C33,87.065,-70.63,270,bottom
C34,81.59,-77.985,270,bottom
C35,72.01,-56.495,90,bottom
D1,182.862498,-99.345001,180,bottom
D10,97.03264,-108.467304,188,top
D11,127.29,-114.49,150,top
D12,112.34,-108.74,170,top
D13,139.99,-126.066003,130,top
D14,146.835,-136.72,180,top
D15,153.42,-126.05,230,top
D16,199.85,-96.301711,247,top
D17,166.06,-114.49,209,top
D18,206.83,-86.750984,222,top
D19,181.076048,-108.74,190,top
D2,215.63,-66.687502,90,bottom
D20,216.969043,-80.84,199,top
D21,196.61,-108.467304,172,top
D22,231.5,-79.567304,172,top
D23,238.03,-65.875997,234,top
D24,218.59,-41.343814,330,top
D25,251.067141,-54.33,210,top
D26,208.949125,-35.98,8,top
D27,241.04,-51.04,342,top
D28,200.6,-50.71,57,top
D29,230.07,-47.13,336,top
D3,215.63,-64.040002,270,bottom
D30,191.67,-62.34,48,top
D31,182.02,-71.41,40,top
D32,151.39,-79.37,0,top
D33,169.36,-79.49,0,top
D34,147.01,-68.7,0,top
D35,160.2,-70.56,300,top
D36,143.669122,-79.371171,0,top
D37,156.75,-61.6,350,top
D38,136.623953,-61.61,10,top
D39,133.22,-70.56,60,top
D4,89.725,-69.3925,90,bottom
D40,92.82,-50.71,303,top
D41,124.01,-79.49,0,top
D42,84.41,-35.98,352,top
D43,111.45,-71.41,320,top
D44,74.902587,-41.343814,30,top
D45,101.82,-62.35,312,top
D46,63.736295,-47.02,24,top
D47,52.709909,-51.04,18,top
D48,42.13,-54.33,150,top
D49,55.387136,-65.896468,126,top
D50,61.992641,-79.567304,188,top
D51,84.8,-59.22,270,bottom
D52,86.99,-59.2225,90,bottom
D7,76.49,-80.84,161,top
D8,86.621956,-86.750984,138,top
D9,93.598226,-96.301711,115,top
F1,185.319998,-97.885001,90,bottom
J1,189.169998,-104,0,bottom
SW1,107.973234,-95.073235,135,bottom
L1,93.725,-78.435,180,bottom
L2,70.825,-52.55,0,bottom
L3,66.87,-62.29,0,bottom
P1,64.7,-71.69,270,bottom
Q1,77.51,-57.53,0,bottom
R1,191.199998,-97.755001,90,bottom
R13,232.97,-62.560002,180,bottom
R14,222.06,-71.47,0,bottom
R15,219.03,-71.47,180,bottom
R16,212.4325,-60.9,270,bottom
R17,208.4825,-55.43,270,bottom
R18,204.11,-60.91,270,bottom
R19,205.7775,-68.64,180,bottom
R2,187.429998,-97.745001,90,bottom
R22,74.06,-61.84,180,bottom
R23,74.055,-63.36,0,bottom
R24,76.66,-61.96,270,bottom
R25,78.84,-61.955,270,bottom
R26,82.305,-58.28,0,bottom
R27,82.3,-60.38,0,bottom
R28,65.7,-53.93,270,bottom
R29,64.18,-53.93,270,bottom
R30,83.11,-77.99,270,bottom
R31,84.63,-77.995,270,bottom
R32,79.45,-67.27,0,bottom
R33,77.87,-76.33,90,bottom
R34,76.34,-76.33,270,bottom
R35,80.05,-77.985,90,bottom
S2,233.22,-66.350002,90,bottom
S3,214.48,-70.375,0,bottom
S4,208.5925,-60.665,0,bottom
S5,200.2925,-60.645,0,bottom
S6,204.58,-55.18,0,bottom
S7,204.37,-65.94,0,bottom
U2,82.275,-71.775,0,bottom
U4,223.54,-62.5,0,bottom
U5,63.205,-56.74,180,bottom
